Line X1:,+0.0 mm," 0-10000 mN",
Position[mm],Force Z[mN]," Accoustics[dB]"," Force X[mN]"
A,B,C,D
0.00,186,27.1,1145
0.29,261,26.3,-7
0.55,352,19.1,2
0.76,441,27.1,27
0.97,525,41.3,35
1.17,613,34.9,43
1.40,725,44.7,58
1.61,845,46.0,76
1.82,963,41.0,92
2.05,1100,24.1,171
2.26,1218,44.5,290
2.46,1324,41.1,324
2.69,1453,42.1,347
2.90,1571,23.2,379
3.11,1730,20.9,514
3.34,1922,18.0,611
3.54,1976,53.0,512
3.76,2027,55.3,516
3.96,2123,53.7,541
4.19,2261,42.2,608
4.40,2328,37.6,635
4.61,2378,33.2,734
4.84,2567,44.5,821
5.04,2606,35.1,707
5.25,2688,51.2,713
5.46,2762,30.1,688
5.69,2833,35.4,663
5.90,2897,39.0,665
6.10,2965,23.3,692
6.33,3050,28.5,731
6.54,3187,26.6,782
6.75,3254,24.5,750
6.98,3289,24.9,718
7.19,3385,23.7,786
7.39,3493,22.3,837
7.62,3585,28.9,828
7.83,3666,21.7,844
8.04,3739,22.2,801
8.25,3796,25.4,549
8.48,3891,25.4,447
8.69,3991,25.4,455
8.89,4076,23.3,471
9.12,4180,22.6,510
9.33,4271,24.5,521
9.54,4338,22.5,526
9.77,4403,32.5,547
9.98,4477,23.6,553
10.18,4542,38.3,566
10.41,4629,43.9,579
10.62,4725,43.7,625
10.83,4862,27.5,648
11.04,5011,29.7,876
11.27,5277,37.7,1372
11.47,5471,25.7,1371
11.68,5449,24.5,1324
11.91,5426,23.1,1390
12.12,5456,22.4,1403
12.33,5485,23.5,1402
12.56,5505,24.2,1390
12.77,5556,21.9,1316
12.97,5628,24.0,1306
13.20,5682,22.4,1367
13.41,5761,20.7,1397
13.62,5860,18.7,1498
13.85,5983,19.1,1516
14.06,6063,19.5,1574
14.26,6145,20.8,1620
14.49,6245,19.3,1633
14.70,6344,22.0,1654
14.91,6424,19.9,1703
15.14,6522,23.7,1758
15.35,6630,22.5,1773
15.58,6722,26.4,1750
15.78,6815,22.1,1785
15.99,6935,22.7,1727
16.20,7014,22.0,1189
16.43,7089,23.9,793
16.64,7198,25.3,874
16.87,7295,26.9,919
17.08,7344,27.9,913
17.28,7418,26.3,914
17.49,7492,26.9,919
17.72,7582,28.2,947
17.93,7682,25.9,948
18.16,7767,24.5,1022
18.37,7840,23.9,1057
18.57,7936,25.4,992
18.80,8029,21.2,954
19.01,8107,21.8,1108
19.22,8288,23.2,1780
19.45,8539,42.6,2088
19.66,8545,37.6,2227
19.86,8563,28.5,2344
20.09,8660,30.5,2389
20.31,8747,31.4,2472
20.51,8853,37.5,2517
20.74,8958,31.5,2554
20.95,9055,31.0,2474
21.16,9203,23.8,2333
21.39,9269,31.9,2399
21.60,9325,22.7,2488
21.80,9410,36.6,2543
22.03,9515,21.6,2553
22.24,9617,34.7,2596
22.45,9698,29.1,2621
22.68,9771,24.3,2620
22.89,9855,20.4,2619
23.09,9943,32.7,2620
23.33,10031,30.7,2717
23.53,10143,32.4,2723
23.76,10224,31.0,2753
23.97,10287,30.8,2736
,,,
