Line X1:,+0.0 mm," 0-10000 mN",
Position[mm],Force Z[mN]," Accoustics[dB]"," Force X[mN]"
A,B,C,D
0.00,128,35.0,2033
0.43,184,44.0,15
0.66,240,42.2,-4
0.95,296,50.0,0
1.18,339,38.4,18
1.41,402,37.7,16
1.64,490,44.1,31
1.87,593,40.8,67
2.10,715,27.6,83
2.33,849,38.4,89
2.56,1123,28.6,89
2.79,1268,29.7,112
3.02,1427,34.4,143
3.25,1563,37.8,160
3.48,1669,32.1,158
3.71,1786,30.6,149
3.94,1925,42.4,161
4.18,2063,42.1,191
4.41,2212,39.0,214
4.64,2346,35.3,224
4.87,2446,22.5,236
5.10,2546,29.4,251
5.33,2627,27.5,285
5.56,2823,35.1,301
5.79,2919,38.9,289
6.03,3019,34.5,290
6.26,3103,24.3,302
6.49,3179,25.2,337
6.72,3272,33.1,346
6.95,3365,34.6,332
7.18,3438,35.2,342
7.43,3522,32.5,349
7.66,3619,35.6,362
7.89,3699,31.3,376
8.12,3787,31.5,379
8.35,3977,43.0,393
8.58,4060,43.4,400
8.81,4143,45.3,408
9.04,4236,46.0,431
9.27,4333,46.0,438
9.50,4410,45.2,425
9.73,4472,29.8,446
9.96,4521,32.7,416
10.19,4583,21.6,428
10.42,4668,27.4,454
10.65,4743,29.5,452
10.88,4824,33.9,462
11.11,4944,22.2,456
11.34,5073,37.1,491
11.57,5169,35.8,483
11.80,5242,39.0,493
12.03,5332,39.6,533
12.26,5426,35.8,548
12.49,5515,29.4,537
12.72,5586,34.9,541
12.95,5669,26.1,557
13.18,5765,28.8,565
13.44,5841,24.8,567
13.67,5940,27.2,578
13.90,6064,24.4,562
14.13,6123,38.8,584
14.35,6280,27.7,595
14.58,6382,21.5,635
14.82,6463,22.4,642
15.05,6543,22.8,652
15.28,6647,23.5,658
15.51,6743,25.1,672
15.74,6843,22.0,698
15.97,6942,24.6,714
16.20,7063,21.5,724
16.43,7214,26.0,723
16.66,7321,23.4,723
16.89,7383,26.3,734
17.12,7438,23.4,756
17.35,7575,22.2,764
17.58,7659,40.5,765
17.82,7753,44.6,816
18.05,7869,43.9,802
18.28,7936,46.8,828
18.51,8008,46.8,886
18.74,8093,46.7,903
18.97,8175,43.8,853
19.20,8255,27.6,858
19.46,8345,39.2,887
19.69,8443,34.5,898
19.92,8543,44.7,918
20.15,8727,42.3,964
20.38,8836,37.8,965
20.61,8937,31.1,936
20.84,9032,42.9,966
21.07,9109,31.3,957
21.30,9190,46.5,989
21.53,9294,30.2,972
21.76,9387,39.1,956
22.00,9469,27.3,939
22.23,9556,35.8,960
22.46,9648,28.3,1007
22.69,9717,28.0,1002
22.92,9775,42.9,1039
23.15,9915,41.1,1052
23.38,9995,42.3,1119
23.61,10084,44.4,1121
23.84,10162,29.0,1177
