Line X1:,+0.0 mm," 0-10000 mN",
Position[mm],Force Z[mN]," Accoustics[dB]"," Force X[mN]"
A,B,C,D
0.00,133,44.1,2067
0.29,203,43.6,40
0.52,285,35.5,34
0.74,405,49.0,29
0.97,470,28.8,65
1.17,511,30.3,63
1.38,679,50.0,121
1.61,904,43.8,181
1.82,998,35.0,161
2.02,1086,37.7,137
2.23,1184,44.3,162
2.46,1263,44.5,210
2.67,1355,41.9,199
2.88,1462,25.4,199
3.11,1570,35.6,221
3.31,1651,39.5,243
3.52,1717,37.2,231
3.73,1846,41.6,205
3.96,1987,47.5,196
4.17,2135,41.1,241
4.38,2378,34.4,300
4.61,2605,35.5,395
4.82,2669,42.4,384
5.02,2659,37.4,375
5.23,2690,37.7,368
5.46,2764,31.5,367
5.67,2827,20.7,378
5.88,2900,41.8,398
6.11,2988,42.7,430
6.31,3046,47.8,435
6.53,3086,40.2,419
6.76,3143,30.3,353
6.96,3266,20.0,386
7.17,3373,42.3,412
7.40,3560,42.2,480
7.61,3850,29.0,585
7.81,3953,21.4,589
8.02,3931,30.3,585
8.25,3943,29.3,617
8.46,3963,29.0,616
8.67,4013,22.7,620
8.90,4107,24.7,645
9.10,4227,32.0,670
9.31,4319,27.2,702
9.52,4284,34.4,632
9.75,4288,32.2,471
9.96,4386,25.1,521
10.16,4490,39.7,576
10.39,4727,27.1,724
10.60,5041,17.4,883
10.81,5210,36.8,893
11.04,5198,31.6,872
11.25,5184,38.8,860
11.45,5199,22.5,882
11.69,5173,30.3,882
11.89,5182,25.8,875
12.10,5281,26.9,895
12.31,5356,23.4,911
12.54,5339,39.2,806
12.75,5385,46.6,617
12.95,5484,43.3,685
13.18,5582,48.9,727
13.39,5803,23.7,881
13.60,6185,51.1,1074
13.81,6307,52.8,1102
14.04,6266,45.6,1101
14.24,6275,26.3,1097
14.45,6288,30.9,1101
14.68,6301,26.1,1083
14.89,6336,32.4,1078
15.10,6414,32.0,1099
15.33,6495,34.1,1135
15.53,6576,26.9,1068
15.74,6645,26.1,792
15.97,6789,27.1,820
16.18,6938,29.9,904
16.39,7104,35.7,1066
16.60,7393,43.1,1283
16.83,7473,41.8,1315
17.03,7400,38.1,1292
17.24,7377,28.8,1284
17.47,7428,43.3,1293
17.68,7493,47.2,1301
17.89,7582,45.3,1310
18.12,7663,42.1,1328
18.32,7727,44.7,1281
18.53,7774,30.0,965
18.76,7887,48.4,870
18.97,8000,49.3,981
19.18,8123,26.7,1064
19.39,8362,48.2,1360
19.61,8676,44.3,1614
19.82,8790,29.3,1632
20.03,8749,22.3,1605
20.24,8724,31.0,1598
20.47,8762,37.4,1606
20.68,8838,33.0,1636
20.88,8928,21.3,1647
21.11,9005,24.6,1660
21.32,9084,24.9,1647
21.53,9158,26.9,1406
21.76,9253,26.0,960
21.97,9376,36.9,1088
22.17,9491,37.1,1201
22.41,9614,34.4,1376
22.61,9815,22.0,1754
22.82,9987,46.4,1888
23.03,9989,46.2,1847
23.26,9992,38.9,1870
23.47,10065,19.5,1884
23.70,10146,22.6,1942
23.90,10214,24.6,2020
