Line X1:,+0.0 mm," 0-10000 mN",
Position[mm],Force Z[mN]," Accoustics[dB]"," Force X[mN]"
A,B,C,D
0.00,220,35.2,147
0.41,309,44.2,-11
0.64,373,43.6,-7
0.96,467,31.1,7
1.19,611,32.2,24
1.42,799,36.9,40
1.65,957,41.5,83
1.88,1121,38.2,113
2.11,1293,40.7,171
2.34,1621,26.0,372
2.58,1793,24.3,464
2.81,1850,23.6,429
3.04,1865,34.3,432
3.27,1896,27.0,429
3.50,1932,22.0,411
3.73,1966,35.4,429
3.96,2053,34.5,437
4.20,2163,33.7,463
4.43,2261,35.9,548
4.66,2347,34.3,488
4.89,2438,38.1,639
5.12,2544,28.4,718
5.35,2704,32.6,677
5.58,2799,22.7,687
5.81,2881,22.1,663
6.04,2943,22.4,610
6.27,3021,22.0,693
6.50,3100,23.8,709
6.73,3187,22.0,749
6.96,3272,21.1,791
7.22,3351,24.9,796
7.45,3429,25.7,764
7.68,3476,22.1,325
7.91,3579,25.2,316
8.14,3803,24.3,403
8.37,3932,22.7,475
8.60,4052,24.1,454
8.84,4133,23.1,422
9.07,4215,24.0,463
9.30,4301,27.2,483
9.53,4395,23.3,491
9.76,4479,38.4,505
9.99,4549,50.1,543
10.22,4617,39.6,551
10.45,4706,24.5,639
10.68,4965,21.5,1048
10.91,5161,19.5,1383
11.14,5172,23.5,1419
11.37,5290,36.8,1496
11.60,5350,31.9,1567
11.83,5367,37.0,1562
12.06,5418,38.7,1554
12.29,5502,30.2,1624
12.52,5584,43.0,1607
12.76,5638,41.9,1588
12.98,5705,43.9,1584
13.24,5774,40.1,1594
13.48,5864,29.8,1644
13.70,5947,29.7,1679
13.94,6113,24.8,1847
14.17,6228,27.4,1895
14.40,6304,37.1,1960
14.63,6376,43.6,1990
14.86,6461,42.6,2003
15.09,6561,37.9,2087
15.32,6651,42.3,2056
15.55,6738,29.9,1561
15.78,6842,30.2,922
16.02,6922,25.9,851
16.25,7000,28.1,899
16.48,7135,27.2,889
16.71,7285,26.5,913
16.94,7422,24.7,944
17.17,7478,24.2,982
17.40,7558,26.6,979
17.63,7633,24.0,1003
17.86,7711,22.3,1035
18.09,7791,23.0,1031
18.32,7869,22.6,1210
18.55,7995,25.0,1919
18.78,8100,22.3,2348
19.04,8153,24.7,2410
19.27,8230,38.6,2467
19.50,8336,52.0,2521
19.73,8531,36.8,2541
19.96,8638,40.5,2599
20.19,8742,43.7,2660
20.43,8821,42.1,2681
20.66,8936,39.3,2728
20.89,9034,32.2,2760
21.12,9115,42.9,2748
21.35,9198,47.6,2802
21.58,9302,44.6,2809
21.81,9390,45.1,2772
22.04,9481,33.0,2801
22.27,9579,36.5,2767
22.50,9671,28.7,2734
22.74,9878,45.6,2720
22.97,9939,28.1,2806
23.20,10033,41.9,2846
23.43,10271,43.9,1653
23.66,10376,39.8,1171
23.89,10352,47.6,1208
