Line X1:,+0.0 mm," 0-10000 mN",
Position[mm],Force Z[mN]," Accoustics[dB]"," Force X[mN]"
A,B,C,D
0.00,201,25.9,1958
0.41,235,26.2,1
0.64,292,22.9,-40
0.92,355,24.6,-18
1.15,390,22.3,-14
1.38,438,22.7,-8
1.61,529,23.2,9
1.85,626,26.1,21
2.08,746,24.5,28
2.31,901,24.0,49
2.54,1194,23.6,56
2.77,1318,22.1,72
3.74,1873,22.0,156
3.98,2000,27.7,152
4.21,2141,23.8,167
4.44,2321,24.7,193
4.67,2454,23.0,204
4.90,2551,25.3,209
5.13,2627,23.6,209
5.36,2698,22.9,219
5.59,2772,24.9,227
5.82,2847,22.5,232
6.05,2929,23.6,228
6.28,3015,22.7,258
6.52,3176,26.3,261
6.75,3290,26.2,272
6.98,3373,23.3,285
7.21,3447,25.2,288
7.44,3539,23.3,288
7.67,3635,23.3,318
8.65,4039,22.4,329
8.91,4110,24.7,345
9.14,4188,24.2,345
9.37,4268,23.0,354
9.60,4372,23.8,353
9.83,4448,23.1,355
10.06,4500,24.7,381
10.29,4568,23.2,368
10.52,4649,22.0,385
10.75,4735,21.9,427
10.98,4823,23.6,427
11.22,5000,23.2,440
11.44,5170,24.5,448
11.68,5293,21.8,467
11.91,5321,24.1,443
12.14,5369,22.3,462
12.37,5441,25.7,487
12.60,5513,24.3,499
13.58,5933,23.7,500
13.81,6018,22.4,506
14.04,6110,22.4,539
14.27,6215,22.9,562
14.50,6322,23.0,582
14.73,6406,24.7,597
15.71,6888,22.4,603
15.94,6987,24.3,627
16.17,7073,24.6,613
16.43,7179,24.9,635
16.66,7299,24.8,687
17.63,7661,26.5,714
17.86,7745,25.1,709
18.09,7829,25.8,726
18.32,7892,24.0,750
18.56,7967,23.3,762
18.79,8051,23.8,769
19.02,8129,23.1,786
19.25,8215,26.3,794
19.48,8308,25.1,811
20.45,8866,24.1,866
20.69,8973,25.1,896
20.92,9046,24.1,886
21.90,9527,25.9,937
22.13,9615,25.3,963
22.36,9699,24.1,991
22.59,9782,26.2,989
22.82,9878,27.8,992
23.05,9954,24.8,1035
23.28,10050,25.1,1074
23.51,10140,24.4,1051
23.74,10222,26.3,1088
23.97,10298,26.2,1085
