Line X1:,+0.0 mm," 0-10000 mN",
Position[mm],Force Z[mN]," Accoustics[dB]"," Force X[mN]"
A,B,C,D
0.00,215,24.6,1285
0.43,267,20.9,66
0.66,320,21.4,80
0.95,384,23.3,89
1.18,445,41.1,111
1.41,532,44.5,162
1.64,683,32.5,149
1.87,776,48.9,122
2.10,868,49.2,147
2.33,1001,35.2,162
2.56,1246,51.6,179
2.79,1372,50.8,204
3.03,1506,45.2,248
3.26,1612,37.9,270
3.48,1686,27.1,238
3.72,1782,34.0,215
3.95,1917,25.1,253
4.18,2057,21.0,336
4.41,2293,25.4,443
4.63,2515,45.3,441
4.86,2609,43.8,412
5.09,2665,41.6,432
5.32,2704,32.1,454
5.55,2768,25.7,448
5.78,2920,43.8,451
6.01,3008,49.8,464
6.24,3080,49.1,512
6.47,3116,33.1,513
6.70,3180,44.8,444
6.93,3287,45.1,391
7.19,3395,27.0,445
7.42,3535,23.3,605
7.65,3800,44.9,685
7.88,3940,41.7,647
8.11,3943,31.7,627
8.34,3957,24.4,648
8.57,4088,40.2,675
8.80,4150,39.2,684
9.03,4243,25.5,689
9.27,4318,25.5,704
9.49,4338,40.8,679
9.73,4389,39.5,503
9.96,4482,41.8,563
10.19,4571,41.1,626
10.42,4728,27.8,802
10.65,4995,21.5,881
10.88,5124,22.9,859
11.11,5123,22.4,851
11.34,5175,22.5,887
11.57,5307,23.1,925
11.80,5322,21.1,927
12.03,5355,23.0,910
12.27,5405,27.2,908
12.49,5448,25.5,872
12.73,5522,26.9,691
12.96,5616,34.4,725
13.19,5706,37.4,826
13.44,5869,38.3,1065
13.67,6159,38.4,1150
13.90,6346,38.3,1103
14.13,6410,35.4,1102
14.36,6405,22.1,1111
14.59,6419,40.4,1125
14.82,6457,40.1,1117
15.05,6537,35.7,1158
15.28,6598,35.2,1176
15.52,6641,32.6,1115
15.74,6727,24.0,870
15.98,6865,23.9,904
16.21,7008,22.2,983
16.44,7201,22.6,1308
16.67,7542,25.9,1398
16.90,7719,23.3,1362
17.13,7696,23.5,1358
17.36,7601,26.3,1401
17.59,7626,33.6,1368
17.82,7682,45.1,1366
18.05,7757,34.9,1391
18.28,7820,31.2,1411
18.51,7865,29.4,1306
18.75,7958,40.4,937
19.00,8065,26.8,1084
19.23,8160,41.3,1168
19.46,8301,42.3,1485
19.69,8539,40.3,1611
19.92,8651,41.1,1595
20.15,8669,30.0,1605
20.39,8760,24.0,1637
20.62,8857,23.9,1678
20.85,8950,29.1,1689
21.08,9050,28.5,1751
21.31,9133,33.2,1779
21.54,9181,34.9,1630
21.77,9252,35.2,1174
22.00,9360,27.4,1102
22.23,9457,31.6,1335
22.46,9578,24.6,1680
22.69,9811,22.3,1968
22.92,10025,25.7,1987
23.16,10008,27.7,1978
23.38,10064,23.2,2011
23.61,10152,29.3,2016
23.84,10228,29.6,1993
