cislo,delka,Q1,Q2,Q3,Q4,sirka,ctverce,teor
R1_2,250,0.0598,0.1306,0.0914,0.0935,500,"0,5",50
R2_2,500,0.562,1.849,1.235,1.077,500,1,100
R3_2,1000,1.428,10.839,6.182,5.904,500,2,200
R4_2,1500,2.285,31.286,17.227,15.189,500,3,300
R5_2,2000,2.925,31.424,30.244,18.578,500,4,400
R6_2,2500,3.876,66.84,36.445,25.633,500,5,500
R7_2,3000,4.722,70.627,55.17,33.168,500,6,600
R8_2,3500,5.642,76.456,61.563,38.279,500,7,700
R9_2,4000,6.939,96.564,99.66,36.242,500,8,800
R10_2,4500,8.592,26.58,111.688,55.327,500,9,900
R11_2,5000,9.375,9.356,311.5,93.408,500,10,1000
